episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/grad_gnorm,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_q,info/learner/default_policy/min_q,info/learner/default_policy/max_q,info/learner/default_policy/mean_td_error
nan,nan,nan,nan,0,4,1040,1040,False,0,1,450eefbaaaf54e1f8d1a01a05b48cbbe,2023-02-24_11-27-22,1677248842,3.900207996368408,3.900207996368408,142608,gabriel-ubuntu,192.168.0.106,3.900207996368408,0,1,525b1_00000,[],[],1218.194,26.268,1.795,1040,1040,32,32,1040,1,67.69999999999999,74.51666666666667,0.0,0.4350456,0.0005,0.2121228724718094,-0.13979734480381012,0.5746238231658936,0.06236887723207474
nan,nan,nan,nan,0,4,2080,2080,False,0,2,450eefbaaaf54e1f8d1a01a05b48cbbe,2023-02-24_11-27-25,1677248845,2.7105653285980225,6.610773324966431,142608,gabriel-ubuntu,192.168.0.106,6.610773324966431,0,2,525b1_00000,[],[],11.184,2861.34,2.251,2080,2080,448,448,1600,2,66.65,74.875,0.0,0.16078307,0.0005,0.3843090534210205,-0.10679703950881958,0.881118893623352,0.1424330621957779
-2.0,-2.0,-2.0,111.0,1,4,3120,3120,False,1,3,450eefbaaaf54e1f8d1a01a05b48cbbe,2023-02-24_11-27-27,1677248847,2.6392760276794434,9.250049352645874,142608,gabriel-ubuntu,192.168.0.106,9.250049352645874,0,3,525b1_00000,[-2.0],[111],10.293,3108.849,2.176,3120,3120,864,864,2720,4,74.17500000000001,75.175,0.0,0.051416438,0.0005,0.8186727166175842,0.4980821907520294,1.1685636043548584,-0.0128971291705966
-2.0,-2.0,-2.0,111.0,0,4,4160,4160,False,1,4,450eefbaaaf54e1f8d1a01a05b48cbbe,2023-02-24_11-27-30,1677248850,2.7508788108825684,12.000928163528442,142608,gabriel-ubuntu,192.168.0.106,12.000928163528442,0,4,525b1_00000,[-2.0],[111],12.045,2656.777,2.016,4160,4160,1280,1280,3840,6,75.475,75.55,0.0,0.046403963,0.0005,1.4160785675048828,1.1256829500198364,1.6645839214324951,0.0021171271800994873
1.4855999946594238,-2.0,-0.2572000026702881,184.0,1,4,5200,5200,False,2,5,450eefbaaaf54e1f8d1a01a05b48cbbe,2023-02-24_11-27-33,1677248853,2.668074369430542,14.669002532958984,142608,gabriel-ubuntu,192.168.0.106,14.669002532958984,0,5,525b1_00000,"[-2.0, 1.4855999946594238]","[111, 257]",10.269,3116.031,2.124,5200,5200,1696,1696,4960,8,74.175,75.9,0.0,0.076914795,0.0005,1.8343863487243652,1.265265703201294,2.12113094329834,-0.07561774551868439
1.4855999946594238,-2.0,-0.2572000026702881,184.0,0,4,6240,6240,False,2,6,450eefbaaaf54e1f8d1a01a05b48cbbe,2023-02-24_11-27-35,1677248855,2.706865072250366,17.37586760520935,142608,gabriel-ubuntu,192.168.0.106,17.37586760520935,0,6,525b1_00000,"[-2.0, 1.4855999946594238]","[111, 257]",13.767,2324.479,2.749,6240,6240,2112,2112,6080,10,74.8,76.13333333333334,0.0,0.15690355,0.0005,2.204543352127075,1.9631701707839966,2.3618993759155273,-0.14555346965789795
1.4855999946594238,-2.0,-0.2572000026702881,184.0,0,4,7280,7280,False,2,7,450eefbaaaf54e1f8d1a01a05b48cbbe,2023-02-24_11-27-38,1677248858,2.5908043384552,19.96667194366455,142608,gabriel-ubuntu,192.168.0.106,19.96667194366455,0,7,525b1_00000,"[-2.0, 1.4855999946594238]","[111, 257]",11.957,2676.176,2.537,7280,7280,2528,2528,7200,12,71.65,76.275,0.0,0.09372956,0.0005,2.4423840045928955,1.6409889459609985,2.6927950382232666,-0.08827152103185654
1.4855999946594238,-2.0,-0.2572000026702881,184.0,0,4,8320,8320,False,2,8,450eefbaaaf54e1f8d1a01a05b48cbbe,2023-02-24_11-27-41,1677248861,2.7558236122131348,22.722495555877686,142608,gabriel-ubuntu,192.168.0.106,22.722495555877686,0,8,525b1_00000,"[-2.0, 1.4855999946594238]","[111, 257]",11.003,2908.318,2.1,8320,8320,2944,2944,8320,14,74.9,76.35,0.0,0.07698107,0.0005,2.722421646118164,1.9240355491638184,2.9561409950256348,0.08141212910413742
1.4855999946594238,-2.0,-0.3488999903202057,317.0,2,4,9360,9360,False,4,9,450eefbaaaf54e1f8d1a01a05b48cbbe,2023-02-24_11-27-44,1677248864,2.705373764038086,25.42786931991577,142608,gabriel-ubuntu,192.168.0.106,25.42786931991577,0,9,525b1_00000,"[-2.0, 1.4855999946594238, -2.0, 1.1188000440597534]","[111, 257, 459, 441]",11.461,2792.003,1.98,9360,9360,3360,3360,8880,15,74.17500000000001,76.375,0.0,0.036628287,0.0005,2.8485488891601562,1.4283710718154907,3.066254138946533,0.03320423886179924
1.4855999946594238,-2.0,-0.3488999903202057,317.0,0,4,10400,10400,False,4,10,450eefbaaaf54e1f8d1a01a05b48cbbe,2023-02-24_11-27-46,1677248866,2.771209239959717,28.19907855987549,142608,gabriel-ubuntu,192.168.0.106,28.19907855987549,0,10,525b1_00000,"[-2.0, 1.4855999946594238, -2.0, 1.1188000440597534]","[111, 257, 459, 441]",11.656,2745.283,2.27,10400,10400,3776,3776,10000,17,75.75,76.5,0.0,0.017492885,0.0005,2.966346263885498,2.1091511249542236,3.1920316219329834,0.01666758954524994
